date,year,month,quarter,week,day_of_month,day_of_week,day_name,month_name,quarter_name,is_weekend,is_holiday_season,is_summer
2023-04-17,2023,4,2,16,17,1,Monday,April,Q2,False,False,False
2023-04-18,2023,4,2,16,18,2,Tuesday,April,Q2,False,False,False
2023-04-19,2023,4,2,16,19,3,Wednesday,April,Q2,False,False,False
2023-04-20,2023,4,2,16,20,4,Thursday,April,Q2,False,False,False
2023-04-21,2023,4,2,16,21,5,Friday,April,Q2,False,False,False
2023-04-22,2023,4,2,16,22,6,Saturday,April,Q2,True,False,False
2023-04-23,2023,4,2,16,23,7,Sunday,April,Q2,True,False,False
2023-04-24,2023,4,2,17,24,1,Monday,April,Q2,False,False,False
2023-04-25,2023,4,2,17,25,2,Tuesday,April,Q2,False,False,False
2023-04-26,2023,4,2,17,26,3,Wednesday,April,Q2,False,False,False
2023-04-27,2023,4,2,17,27,4,Thursday,April,Q2,False,False,False
2023-04-28,2023,4,2,17,28,5,Friday,April,Q2,False,False,False
2023-04-29,2023,4,2,17,29,6,Saturday,April,Q2,True,False,False
2023-04-30,2023,4,2,17,30,7,Sunday,April,Q2,True,False,False
2023-05-01,2023,5,2,18,1,1,Monday,May,Q2,False,False,False
2023-05-02,2023,5,2,18,2,2,Tuesday,May,Q2,False,False,False
2023-05-03,2023,5,2,18,3,3,Wednesday,May,Q2,False,False,False
2023-05-04,2023,5,2,18,4,4,Thursday,May,Q2,False,False,False
2023-05-05,2023,5,2,18,5,5,Friday,May,Q2,False,False,False
2023-05-06,2023,5,2,18,6,6,Saturday,May,Q2,True,False,False
2023-05-07,2023,5,2,18,7,7,Sunday,May,Q2,True,False,False
2023-05-08,2023,5,2,19,8,1,Monday,May,Q2,False,False,False
2023-05-09,2023,5,2,19,9,2,Tuesday,May,Q2,False,False,False
2023-05-10,2023,5,2,19,10,3,Wednesday,May,Q2,False,False,False
2023-05-11,2023,5,2,19,11,4,Thursday,May,Q2,False,False,False
2023-05-12,2023,5,2,19,12,5,Friday,May,Q2,False,False,False
2023-05-13,2023,5,2,19,13,6,Saturday,May,Q2,True,False,False
2023-05-14,2023,5,2,19,14,7,Sunday,May,Q2,True,False,False
2023-05-15,2023,5,2,20,15,1,Monday,May,Q2,False,False,False
2023-05-16,2023,5,2,20,16,2,Tuesday,May,Q2,False,False,False
2023-05-17,2023,5,2,20,17,3,Wednesday,May,Q2,False,False,False
2023-05-18,2023,5,2,20,18,4,Thursday,May,Q2,False,False,False
2023-05-19,2023,5,2,20,19,5,Friday,May,Q2,False,False,False
2023-05-20,2023,5,2,20,20,6,Saturday,May,Q2,True,False,False
2023-05-21,2023,5,2,20,21,7,Sunday,May,Q2,True,False,False
2023-05-22,2023,5,2,21,22,1,Monday,May,Q2,False,False,False
2023-05-23,2023,5,2,21,23,2,Tuesday,May,Q2,False,False,False
2023-05-24,2023,5,2,21,24,3,Wednesday,May,Q2,False,False,False
2023-05-25,2023,5,2,21,25,4,Thursday,May,Q2,False,False,False
2023-05-26,2023,5,2,21,26,5,Friday,May,Q2,False,False,False
2023-05-27,2023,5,2,21,27,6,Saturday,May,Q2,True,False,False
2023-05-28,2023,5,2,21,28,7,Sunday,May,Q2,True,False,False
2023-05-29,2023,5,2,22,29,1,Monday,May,Q2,False,False,False
2023-05-30,2023,5,2,22,30,2,Tuesday,May,Q2,False,False,False
2023-05-31,2023,5,2,22,31,3,Wednesday,May,Q2,False,False,False
2023-06-01,2023,6,2,22,1,4,Thursday,June,Q2,False,False,True
2023-06-02,2023,6,2,22,2,5,Friday,June,Q2,False,False,True
2023-06-03,2023,6,2,22,3,6,Saturday,June,Q2,True,False,True
2023-06-04,2023,6,2,22,4,7,Sunday,June,Q2,True,False,True
2023-06-05,2023,6,2,23,5,1,Monday,June,Q2,False,False,True
2023-06-06,2023,6,2,23,6,2,Tuesday,June,Q2,False,False,True
2023-06-07,2023,6,2,23,7,3,Wednesday,June,Q2,False,False,True
2023-06-08,2023,6,2,23,8,4,Thursday,June,Q2,False,False,True
2023-06-09,2023,6,2,23,9,5,Friday,June,Q2,False,False,True
2023-06-10,2023,6,2,23,10,6,Saturday,June,Q2,True,False,True
2023-06-11,2023,6,2,23,11,7,Sunday,June,Q2,True,False,True
2023-06-12,2023,6,2,24,12,1,Monday,June,Q2,False,False,True
2023-06-13,2023,6,2,24,13,2,Tuesday,June,Q2,False,False,True
2023-06-14,2023,6,2,24,14,3,Wednesday,June,Q2,False,False,True
2023-06-15,2023,6,2,24,15,4,Thursday,June,Q2,False,False,True
2023-06-16,2023,6,2,24,16,5,Friday,June,Q2,False,False,True
2023-06-17,2023,6,2,24,17,6,Saturday,June,Q2,True,False,True
2023-06-18,2023,6,2,24,18,7,Sunday,June,Q2,True,False,True
2023-06-19,2023,6,2,25,19,1,Monday,June,Q2,False,False,True
2023-06-20,2023,6,2,25,20,2,Tuesday,June,Q2,False,False,True
2023-06-21,2023,6,2,25,21,3,Wednesday,June,Q2,False,False,True
2023-06-22,2023,6,2,25,22,4,Thursday,June,Q2,False,False,True
2023-06-23,2023,6,2,25,23,5,Friday,June,Q2,False,False,True
2023-06-24,2023,6,2,25,24,6,Saturday,June,Q2,True,False,True
2023-06-25,2023,6,2,25,25,7,Sunday,June,Q2,True,False,True
2023-06-26,2023,6,2,26,26,1,Monday,June,Q2,False,False,True
2023-06-27,2023,6,2,26,27,2,Tuesday,June,Q2,False,False,True
2023-06-28,2023,6,2,26,28,3,Wednesday,June,Q2,False,False,True
2023-06-29,2023,6,2,26,29,4,Thursday,June,Q2,False,False,True
2023-06-30,2023,6,2,26,30,5,Friday,June,Q2,False,False,True
2023-07-01,2023,7,3,26,1,6,Saturday,July,Q3,True,False,True
2023-07-02,2023,7,3,26,2,7,Sunday,July,Q3,True,False,True
2023-07-03,2023,7,3,27,3,1,Monday,July,Q3,False,False,True
2023-07-04,2023,7,3,27,4,2,Tuesday,July,Q3,False,False,True
2023-07-05,2023,7,3,27,5,3,Wednesday,July,Q3,False,False,True
2023-07-06,2023,7,3,27,6,4,Thursday,July,Q3,False,False,True
2023-07-07,2023,7,3,27,7,5,Friday,July,Q3,False,False,True
2023-07-08,2023,7,3,27,8,6,Saturday,July,Q3,True,False,True
2023-07-09,2023,7,3,27,9,7,Sunday,July,Q3,True,False,True
2023-07-10,2023,7,3,28,10,1,Monday,July,Q3,False,False,True
2023-07-11,2023,7,3,28,11,2,Tuesday,July,Q3,False,False,True
2023-07-12,2023,7,3,28,12,3,Wednesday,July,Q3,False,False,True
2023-07-13,2023,7,3,28,13,4,Thursday,July,Q3,False,False,True
2023-07-14,2023,7,3,28,14,5,Friday,July,Q3,False,False,True
2023-07-15,2023,7,3,28,15,6,Saturday,July,Q3,True,False,True
2023-07-16,2023,7,3,28,16,7,Sunday,July,Q3,True,False,True
2023-07-17,2023,7,3,29,17,1,Monday,July,Q3,False,False,True
2023-07-18,2023,7,3,29,18,2,Tuesday,July,Q3,False,False,True
2023-07-19,2023,7,3,29,19,3,Wednesday,July,Q3,False,False,True
2023-07-20,2023,7,3,29,20,4,Thursday,July,Q3,False,False,True
2023-07-21,2023,7,3,29,21,5,Friday,July,Q3,False,False,True
2023-07-22,2023,7,3,29,22,6,Saturday,July,Q3,True,False,True
2023-07-23,2023,7,3,29,23,7,Sunday,July,Q3,True,False,True
2023-07-24,2023,7,3,30,24,1,Monday,July,Q3,False,False,True
2023-07-25,2023,7,3,30,25,2,Tuesday,July,Q3,False,False,True
2023-07-26,2023,7,3,30,26,3,Wednesday,July,Q3,False,False,True
2023-07-27,2023,7,3,30,27,4,Thursday,July,Q3,False,False,True
2023-07-28,2023,7,3,30,28,5,Friday,July,Q3,False,False,True
2023-07-29,2023,7,3,30,29,6,Saturday,July,Q3,True,False,True
2023-07-30,2023,7,3,30,30,7,Sunday,July,Q3,True,False,True
2023-07-31,2023,7,3,31,31,1,Monday,July,Q3,False,False,True
2023-08-01,2023,8,3,31,1,2,Tuesday,August,Q3,False,False,True
2023-08-02,2023,8,3,31,2,3,Wednesday,August,Q3,False,False,True
2023-08-03,2023,8,3,31,3,4,Thursday,August,Q3,False,False,True
2023-08-04,2023,8,3,31,4,5,Friday,August,Q3,False,False,True
2023-08-05,2023,8,3,31,5,6,Saturday,August,Q3,True,False,True
2023-08-06,2023,8,3,31,6,7,Sunday,August,Q3,True,False,True
2023-08-07,2023,8,3,32,7,1,Monday,August,Q3,False,False,True
2023-08-08,2023,8,3,32,8,2,Tuesday,August,Q3,False,False,True
2023-08-09,2023,8,3,32,9,3,Wednesday,August,Q3,False,False,True
2023-08-10,2023,8,3,32,10,4,Thursday,August,Q3,False,False,True
2023-08-11,2023,8,3,32,11,5,Friday,August,Q3,False,False,True
2023-08-12,2023,8,3,32,12,6,Saturday,August,Q3,True,False,True
2023-08-13,2023,8,3,32,13,7,Sunday,August,Q3,True,False,True
2023-08-14,2023,8,3,33,14,1,Monday,August,Q3,False,False,True
2023-08-15,2023,8,3,33,15,2,Tuesday,August,Q3,False,False,True
2023-08-16,2023,8,3,33,16,3,Wednesday,August,Q3,False,False,True
2023-08-17,2023,8,3,33,17,4,Thursday,August,Q3,False,False,True
2023-08-18,2023,8,3,33,18,5,Friday,August,Q3,False,False,True
2023-08-19,2023,8,3,33,19,6,Saturday,August,Q3,True,False,True
2023-08-20,2023,8,3,33,20,7,Sunday,August,Q3,True,False,True
2023-08-21,2023,8,3,34,21,1,Monday,August,Q3,False,False,True
2023-08-22,2023,8,3,34,22,2,Tuesday,August,Q3,False,False,True
2023-08-23,2023,8,3,34,23,3,Wednesday,August,Q3,False,False,True
2023-08-24,2023,8,3,34,24,4,Thursday,August,Q3,False,False,True
2023-08-25,2023,8,3,34,25,5,Friday,August,Q3,False,False,True
2023-08-26,2023,8,3,34,26,6,Saturday,August,Q3,True,False,True
2023-08-27,2023,8,3,34,27,7,Sunday,August,Q3,True,False,True
2023-08-28,2023,8,3,35,28,1,Monday,August,Q3,False,False,True
2023-08-29,2023,8,3,35,29,2,Tuesday,August,Q3,False,False,True
2023-08-30,2023,8,3,35,30,3,Wednesday,August,Q3,False,False,True
2023-08-31,2023,8,3,35,31,4,Thursday,August,Q3,False,False,True
2023-09-01,2023,9,3,35,1,5,Friday,September,Q3,False,False,False
2023-09-02,2023,9,3,35,2,6,Saturday,September,Q3,True,False,False
2023-09-03,2023,9,3,35,3,7,Sunday,September,Q3,True,False,False
2023-09-04,2023,9,3,36,4,1,Monday,September,Q3,False,False,False
2023-09-05,2023,9,3,36,5,2,Tuesday,September,Q3,False,False,False
2023-09-06,2023,9,3,36,6,3,Wednesday,September,Q3,False,False,False
2023-09-07,2023,9,3,36,7,4,Thursday,September,Q3,False,False,False
2023-09-08,2023,9,3,36,8,5,Friday,September,Q3,False,False,False
2023-09-09,2023,9,3,36,9,6,Saturday,September,Q3,True,False,False
2023-09-10,2023,9,3,36,10,7,Sunday,September,Q3,True,False,False
2023-09-11,2023,9,3,37,11,1,Monday,September,Q3,False,False,False
2023-09-12,2023,9,3,37,12,2,Tuesday,September,Q3,False,False,False
2023-09-13,2023,9,3,37,13,3,Wednesday,September,Q3,False,False,False
2023-09-14,2023,9,3,37,14,4,Thursday,September,Q3,False,False,False
2023-09-15,2023,9,3,37,15,5,Friday,September,Q3,False,False,False
2023-09-16,2023,9,3,37,16,6,Saturday,September,Q3,True,False,False
2023-09-17,2023,9,3,37,17,7,Sunday,September,Q3,True,False,False
2023-09-18,2023,9,3,38,18,1,Monday,September,Q3,False,False,False
2023-09-19,2023,9,3,38,19,2,Tuesday,September,Q3,False,False,False
2023-09-20,2023,9,3,38,20,3,Wednesday,September,Q3,False,False,False
2023-09-21,2023,9,3,38,21,4,Thursday,September,Q3,False,False,False
2023-09-22,2023,9,3,38,22,5,Friday,September,Q3,False,False,False
2023-09-23,2023,9,3,38,23,6,Saturday,September,Q3,True,False,False
2023-09-24,2023,9,3,38,24,7,Sunday,September,Q3,True,False,False
2023-09-25,2023,9,3,39,25,1,Monday,September,Q3,False,False,False
2023-09-26,2023,9,3,39,26,2,Tuesday,September,Q3,False,False,False
2023-09-27,2023,9,3,39,27,3,Wednesday,September,Q3,False,False,False
2023-09-28,2023,9,3,39,28,4,Thursday,September,Q3,False,False,False
2023-09-29,2023,9,3,39,29,5,Friday,September,Q3,False,False,False
2023-09-30,2023,9,3,39,30,6,Saturday,September,Q3,True,False,False
2023-10-01,2023,10,4,39,1,7,Sunday,October,Q4,True,False,False
2023-10-02,2023,10,4,40,2,1,Monday,October,Q4,False,False,False
2023-10-03,2023,10,4,40,3,2,Tuesday,October,Q4,False,False,False
2023-10-04,2023,10,4,40,4,3,Wednesday,October,Q4,False,False,False
2023-10-05,2023,10,4,40,5,4,Thursday,October,Q4,False,False,False
2023-10-06,2023,10,4,40,6,5,Friday,October,Q4,False,False,False
2023-10-07,2023,10,4,40,7,6,Saturday,October,Q4,True,False,False
2023-10-08,2023,10,4,40,8,7,Sunday,October,Q4,True,False,False
2023-10-09,2023,10,4,41,9,1,Monday,October,Q4,False,False,False
2023-10-10,2023,10,4,41,10,2,Tuesday,October,Q4,False,False,False
2023-10-11,2023,10,4,41,11,3,Wednesday,October,Q4,False,False,False
2023-10-12,2023,10,4,41,12,4,Thursday,October,Q4,False,False,False
2023-10-13,2023,10,4,41,13,5,Friday,October,Q4,False,False,False
2023-10-14,2023,10,4,41,14,6,Saturday,October,Q4,True,False,False
2023-10-15,2023,10,4,41,15,7,Sunday,October,Q4,True,False,False
2023-10-16,2023,10,4,42,16,1,Monday,October,Q4,False,False,False
2023-10-17,2023,10,4,42,17,2,Tuesday,October,Q4,False,False,False
2023-10-18,2023,10,4,42,18,3,Wednesday,October,Q4,False,False,False
2023-10-19,2023,10,4,42,19,4,Thursday,October,Q4,False,False,False
2023-10-20,2023,10,4,42,20,5,Friday,October,Q4,False,False,False
2023-10-21,2023,10,4,42,21,6,Saturday,October,Q4,True,False,False
2023-10-22,2023,10,4,42,22,7,Sunday,October,Q4,True,False,False
2023-10-23,2023,10,4,43,23,1,Monday,October,Q4,False,False,False
2023-10-24,2023,10,4,43,24,2,Tuesday,October,Q4,False,False,False
2023-10-25,2023,10,4,43,25,3,Wednesday,October,Q4,False,False,False
2023-10-26,2023,10,4,43,26,4,Thursday,October,Q4,False,False,False
2023-10-27,2023,10,4,43,27,5,Friday,October,Q4,False,False,False
2023-10-28,2023,10,4,43,28,6,Saturday,October,Q4,True,False,False
2023-10-29,2023,10,4,43,29,7,Sunday,October,Q4,True,False,False
2023-10-30,2023,10,4,44,30,1,Monday,October,Q4,False,False,False
2023-10-31,2023,10,4,44,31,2,Tuesday,October,Q4,False,False,False
2023-11-01,2023,11,4,44,1,3,Wednesday,November,Q4,False,True,False
2023-11-02,2023,11,4,44,2,4,Thursday,November,Q4,False,True,False
2023-11-03,2023,11,4,44,3,5,Friday,November,Q4,False,True,False
2023-11-04,2023,11,4,44,4,6,Saturday,November,Q4,True,True,False
2023-11-05,2023,11,4,44,5,7,Sunday,November,Q4,True,True,False
2023-11-06,2023,11,4,45,6,1,Monday,November,Q4,False,True,False
2023-11-07,2023,11,4,45,7,2,Tuesday,November,Q4,False,True,False
2023-11-08,2023,11,4,45,8,3,Wednesday,November,Q4,False,True,False
2023-11-09,2023,11,4,45,9,4,Thursday,November,Q4,False,True,False
2023-11-10,2023,11,4,45,10,5,Friday,November,Q4,False,True,False
2023-11-11,2023,11,4,45,11,6,Saturday,November,Q4,True,True,False
2023-11-12,2023,11,4,45,12,7,Sunday,November,Q4,True,True,False
2023-11-13,2023,11,4,46,13,1,Monday,November,Q4,False,True,False
2023-11-14,2023,11,4,46,14,2,Tuesday,November,Q4,False,True,False
2023-11-15,2023,11,4,46,15,3,Wednesday,November,Q4,False,True,False
2023-11-16,2023,11,4,46,16,4,Thursday,November,Q4,False,True,False
2023-11-17,2023,11,4,46,17,5,Friday,November,Q4,False,True,False
2023-11-18,2023,11,4,46,18,6,Saturday,November,Q4,True,True,False
2023-11-19,2023,11,4,46,19,7,Sunday,November,Q4,True,True,False
2023-11-20,2023,11,4,47,20,1,Monday,November,Q4,False,True,False
2023-11-21,2023,11,4,47,21,2,Tuesday,November,Q4,False,True,False
2023-11-22,2023,11,4,47,22,3,Wednesday,November,Q4,False,True,False
2023-11-23,2023,11,4,47,23,4,Thursday,November,Q4,False,True,False
2023-11-24,2023,11,4,47,24,5,Friday,November,Q4,False,True,False
2023-11-25,2023,11,4,47,25,6,Saturday,November,Q4,True,True,False
2023-11-26,2023,11,4,47,26,7,Sunday,November,Q4,True,True,False
2023-11-27,2023,11,4,48,27,1,Monday,November,Q4,False,True,False
2023-11-28,2023,11,4,48,28,2,Tuesday,November,Q4,False,True,False
2023-11-29,2023,11,4,48,29,3,Wednesday,November,Q4,False,True,False
2023-11-30,2023,11,4,48,30,4,Thursday,November,Q4,False,True,False
2023-12-01,2023,12,4,48,1,5,Friday,December,Q4,False,True,False
2023-12-02,2023,12,4,48,2,6,Saturday,December,Q4,True,True,False
2023-12-03,2023,12,4,48,3,7,Sunday,December,Q4,True,True,False
2023-12-04,2023,12,4,49,4,1,Monday,December,Q4,False,True,False
2023-12-05,2023,12,4,49,5,2,Tuesday,December,Q4,False,True,False
2023-12-06,2023,12,4,49,6,3,Wednesday,December,Q4,False,True,False
2023-12-07,2023,12,4,49,7,4,Thursday,December,Q4,False,True,False
2023-12-08,2023,12,4,49,8,5,Friday,December,Q4,False,True,False
2023-12-09,2023,12,4,49,9,6,Saturday,December,Q4,True,True,False
2023-12-10,2023,12,4,49,10,7,Sunday,December,Q4,True,True,False
2023-12-11,2023,12,4,50,11,1,Monday,December,Q4,False,True,False
2023-12-12,2023,12,4,50,12,2,Tuesday,December,Q4,False,True,False
2023-12-13,2023,12,4,50,13,3,Wednesday,December,Q4,False,True,False
2023-12-14,2023,12,4,50,14,4,Thursday,December,Q4,False,True,False
2023-12-15,2023,12,4,50,15,5,Friday,December,Q4,False,True,False
2023-12-16,2023,12,4,50,16,6,Saturday,December,Q4,True,True,False
2023-12-17,2023,12,4,50,17,7,Sunday,December,Q4,True,True,False
2023-12-18,2023,12,4,51,18,1,Monday,December,Q4,False,True,False
2023-12-19,2023,12,4,51,19,2,Tuesday,December,Q4,False,True,False
2023-12-20,2023,12,4,51,20,3,Wednesday,December,Q4,False,True,False
2023-12-21,2023,12,4,51,21,4,Thursday,December,Q4,False,True,False
2023-12-22,2023,12,4,51,22,5,Friday,December,Q4,False,True,False
2023-12-23,2023,12,4,51,23,6,Saturday,December,Q4,True,True,False
2023-12-24,2023,12,4,51,24,7,Sunday,December,Q4,True,True,False
2023-12-25,2023,12,4,52,25,1,Monday,December,Q4,False,True,False
2023-12-26,2023,12,4,52,26,2,Tuesday,December,Q4,False,True,False
2023-12-27,2023,12,4,52,27,3,Wednesday,December,Q4,False,True,False
2023-12-28,2023,12,4,52,28,4,Thursday,December,Q4,False,True,False
2023-12-29,2023,12,4,52,29,5,Friday,December,Q4,False,True,False
2023-12-30,2023,12,4,52,30,6,Saturday,December,Q4,True,True,False
2023-12-31,2023,12,4,52,31,7,Sunday,December,Q4,True,True,False
2024-01-01,2024,1,1,1,1,1,Monday,January,Q1,False,False,False
2024-01-02,2024,1,1,1,2,2,Tuesday,January,Q1,False,False,False
2024-01-03,2024,1,1,1,3,3,Wednesday,January,Q1,False,False,False
2024-01-04,2024,1,1,1,4,4,Thursday,January,Q1,False,False,False
2024-01-05,2024,1,1,1,5,5,Friday,January,Q1,False,False,False
2024-01-06,2024,1,1,1,6,6,Saturday,January,Q1,True,False,False
2024-01-07,2024,1,1,1,7,7,Sunday,January,Q1,True,False,False
2024-01-08,2024,1,1,2,8,1,Monday,January,Q1,False,False,False
2024-01-09,2024,1,1,2,9,2,Tuesday,January,Q1,False,False,False
2024-01-10,2024,1,1,2,10,3,Wednesday,January,Q1,False,False,False
